Year,city,sr,tmin,tmax,rh,sh,ep,ws,rf
Jan-03,ilorin,17.90,17.70,32.50,42.00,6.10,12.40,4.00,0.25
Feb-03,ilorin,18.00,20.50,36.10,45.00,5.70,13.80,3.00,0.25
Mar-03,ilorin,16.50,23.90,36.50,68.00,7.70,9.10,6.00,0.25
Apr-03,ilorin,16.90,23.50,35.00,69.00,7.30,6.60,6.00,41.50
May-03,ilorin,15.60,22.80,32.10,78.00,7.40,4.30,7.00,140.40
Jun-03,ilorin,12.90,21.60,29.90,78.00,7.00,3.50,5.00,72.50
Jul-03,ilorin,11.90,21.60,28.90,83.00,4.00,3.00,6.00,116.30
Aug-03,ilorin,13.30,21.30,27.70,83.00,2.40,3.10,5.00,49.20
Sep-03,ilorin,15.10,21.00,28.20,85.00,4.50,2.50,4.00,289.70
Oct-03,ilorin,17.50,20.90,30.90,81.00,6.30,3.00,4.00,166.40
Nov-03,ilorin,18.20,20.20,31.80,63.00,7.70,5.70,4.00,55.60
Dec-03,ilorin,14.50,18.70,33.80,61.00,7.30,7.30,3.00,0.25
Jan-04,ilorin,17.20,18.20,32.80,43.00,6.50,11.30,5.00,0.25
Feb-04,ilorin,17.80,21.30,35.70,60.00,5.30,10.40,5.00,3.60
Mar-04,ilorin,17.10,22.30,34.90,65.00,6.70,7.90,6.00,52.00
Apr-04,ilorin,16.20,23.50,34.20,70.00,7.20,6.50,7.00,27.80
May-04,ilorin,14.10,23.00,32.20,79.00,7.10,4.00,5.00,141.40
Jun-04,ilorin,13.90,21.90,27.60,82.00,6.60,2.90,6.00,130.60
Jul-04,ilorin,12.30,21.30,28.80,86.00,5.10,2.80,6.00,146.50
Aug-04,ilorin,12.70,21.10,28.50,85.00,3.20,2.30,5.00,193.50
Sep-04,ilorin,16.60,20.80,29.30,86.00,3.90,2.20,5.00,234.80
Oct-04,ilorin,17.40,21.30,31.20,82.00,7.20,2.70,5.00,202.30
Nov-04,ilorin,16.40,18.00,32.20,60.00,7.80,4.40,3.00,25.40
Dec-04,ilorin,15.40,19.40,33.30,54.00,8.40,7.30,3.00,0.25
Jan-05,ilorin,17.10,20.10,33.10,57.00,6.50,11.30,3.00,39.30
Feb-05,ilorin,18.40,22.00,36.50,63.00,7.80,10.40,4.00,0.25
Mar-05,ilorin,18.10,23.80,36.30,69.00,7.20,7.90,6.00,19.80
Apr-05,ilorin,15.20,23.30,33.30,77.00,6.90,6.50,6.00,223.00
May-05,ilorin,16.10,22.20,31.50,79.00,7.80,4.00,8.00,156.00
Jun-05,ilorin,14.90,21.80,30.20,81.00,6.00,2.90,6.00,131.20
Jul-05,ilorin,10.60,21.80,28.20,84.00,5.50,2.80,5.00,89.60
Aug-05,ilorin,12.60,21.50,28.20,82.00,3.90,2.30,5.00,87.00
Sep-05,ilorin,14.50,21.80,29.60,83.00,4.40,2.20,4.00,260.60
Oct-05,ilorin,14.70,21.30,30.30,83.00,7.20,2.70,4.00,235.50
Nov-05,ilorin,18.60,19.40,33.10,63.00,8.20,4.40,4.00,0.25
Dec-05,ilorin,16.20,16.20,32.80,39.00,8.30,7.30,3.00,0.25
Jan-06,ilorin,15.90,17.70,33.50,37.00,6.80,7.60,3.00,0.25
Feb-06,ilorin,16.90,20.70,35.80,45.00,7.40,8.90,4.00,2.10
Mar-06,ilorin,17.20,23.20,35.50,72.00,6.70,7.50,5.00,33.30
Apr-06,ilorin,18.30,22.80,34.40,73.00,7.40,5.00,6.00,122.00
May-06,ilorin,15.30,22.70,31.50,81.00,6.00,3.30,5.00,209.60
Jun-06,ilorin,14.40,22.10,30.50,84.00,6.90,3.20,4.00,171.30
Jul-06,ilorin,12.70,21.70,28.70,85.00,4.00,2.50,5.00,218.70
Aug-06,ilorin,10.80,22.10,28.60,87.00,2.70,2.60,5.00,232.10
Sep-06,ilorin,13.50,21.80,29.50,85.00,5.10,2.50,5.00,188.50
Oct-06,ilorin,15.80,21.90,30.90,82.00,4.50,2.40,2.00,154.60
Nov-06,ilorin,15.80,19.10,32.40,84.00,7.60,6.70,2.00,46.80
Dec-06,ilorin,14.70,20.40,33.40,70.00,5.70,9.70,1.00,30.20
Jan-07,ilorin,16.00,21.20,34.50,76.00,3.70,10.60,2.00,0.25
Feb-07,ilorin,17.30,23.20,36.00,66.00,7.30,11.00,3.00,0.90
Mar-07,ilorin,16.80,23.40,35.80,69.00,4.40,7.30,3.00,61.40
Apr-07,ilorin,17.60,23.40,34.20,69.00,6.30,5.70,2.00,25.80
May-07,ilorin,15.10,22.20,31.90,77.00,6.50,3.50,3.00,143.20
Jun-07,ilorin,12.60,22.10,30.90,79.00,6.40,2.90,2.00,152.80
Jul-07,ilorin,10.70,21.70,29.30,80.00,4.30,2.40,3.00,104.20
Aug-07,ilorin,11.00,21.50,28.70,85.00,2.90,2.20,2.00,131.40
Sep-07,ilorin,14.50,21.50,29.00,85.00,4.10,2.40,2.00,262.70
Oct-07,ilorin,13.60,21.50,31.00,79.00,6.40,2.90,2.00,62.90
Nov-07,ilorin,17.30,16.60,33.30,56.00,7.10,5.60,2.00,0.25
Dec-07,ilorin,15.10,19.80,33.90,73.00,7.80,5.10,3.20,0.25
Jan-08,ilorin,14.60,20.10,33.10,64.00,6.10,7.20,4.00,0.25
Feb-08,ilorin,18.40,19.10,34.30,30.00,7.50,8.20,4.00,0.25
Mar-08,ilorin,18.10,23.10,36.10,61.00,7.30,7.30,4.00,50.70
Apr-08,ilorin,17.90,22.40,33.90,77.00,7.00,5.90,3.00,179.50
May-08,ilorin,14.70,22.50,32.20,80.00,6.80,4.30,5.00,216.90
Jun-08,ilorin,14.30,21.70,30.20,85.00,5.80,4.20,4.00,229.50
Jul-08,ilorin,11.90,21.30,28.40,83.00,4.00,3.10,3.00,102.90
Aug-08,ilorin,12.00,21.90,28.00,84.00,4.10,2.70,3.00,86.00
Sep-08,ilorin,14.80,21.00,29.30,84.00,5.10,2.40,3.20,334.80
Oct-08,ilorin,17.90,22.00,30.50,79.00,6.70,3.40,2.60,121.70
Nov-08,ilorin,16.80,22.00,32.80,78.00,8.00,8.00,2.60,0.80
Dec-08,ilorin,16.10,20.60,33.60,65.00,6.90,7.20,3.40,11.60
Jan-09,ilorin,14.80,18.90,34.10,43.00,5.40,8.00,3.00,0.25
Feb-09,ilorin,18.30,22.40,35.30,50.00,5.90,12.80,3.00,0.30
Mar-09,ilorin,16.40,24.10,34.20,54.00,8.00,8.10,3.00,19.00
Apr-09,ilorin,17.60,25.00,34.30,70.00,7.00,4.80,3.00,107.40
May-09,ilorin,15.30,25.00,32.40,80.00,7.00,3.20,4.00,169.20
Jun-09,ilorin,14.10,21.90,31.10,79.00,6.60,2.70,5.00,241.60
Jul-09,ilorin,12.80,22.00,28.70,86.00,4.00,3.00,3.00,209.00
Aug-09,ilorin,11.40,21.10,28.10,84.00,3.60,2.70,3.00,334.60
Sep-09,ilorin,13.00,21.00,30.00,83.00,4.90,2.60,3.00,338.10
Oct-09,ilorin,17.50,21.90,31.20,82.00,5.90,2.80,3.00,176.30
Nov-09,ilorin,16.40,21.70,35.00,72.00,8.40,4.50,3.00,0.25
Dec-09,ilorin,16.10,19.50,34.50,60.00,7.70,7.00,3.10,0.25
Jan-10,ilorin,14.20,21.30,33.50,62.00,6.30,10.10,4.00,0.25
Feb-10,ilorin,17.70,21.10,33.90,65.00,7.90,10.40,4.00,15.10
Mar-10,ilorin,17.70,23.00,35.10,73.00,7.40,10.20,4.00,68.00
Apr-10,ilorin,17.00,22.80,33.20,77.00,4.70,6.70,3.00,118.30
May-10,ilorin,14.30,21.90,30.90,82.00,7.10,3.50,2.00,171.30
Jun-10,ilorin,11.80,21.70,30.10,83.00,6.40,2.80,3.00,296.20
